127.0.0.1 - - [22/Jul/2018:19:19:43 +0100] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:19:48 +0100] "GET /WebProject/ HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:19:49 +0100] "GET /WebProject/CSS/homeless.css HTTP/1.1" 200 2863
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:19:49 +0100] "GET /WebProject/CSS/style.css HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:19:49 +0100] "GET /WebProject/CSS/servicesStyle.css HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:19:49 +0100] "GET /WebProject/images/Homeless.jpg HTTP/1.1" 200 678101
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:20:06 +0100] "GET /WebProject/ HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:20:06 +0100] "GET /WebProject/CSS/homeless.css HTTP/1.1" 200 2863
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:20:06 +0100] "GET /WebProject/CSS/style.css HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:20:06 +0100] "GET /WebProject/CSS/servicesStyle.css HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:20:07 +0100] "GET /WebProject/images/Homeless.jpg HTTP/1.1" 200 678101
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:20:07 +0100] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:20:07 +0100] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:20:21 +0100] "GET /WebProject/AdvertiseRole.jsp HTTP/1.1" 200 5390
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:20:29 +0100] "GET /WebProject/AdvertiseRole.jsp?organisationName=Dublin%20Care HTTP/1.1" 200 5357
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:20:40 +0100] "GET /WebProject/AdvertiseRole.jsp?organisationName=Homeless%20Help HTTP/1.1" 200 5357
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:20:40 +0100] "GET /WebProject/CSS/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:20:40 +0100] "GET /WebProject/CSS/homeless.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:20:40 +0100] "GET /WebProject/CSS/servicesStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:20:40 +0100] "GET /WebProject/images/Homeless.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:21:17 +0100] "POST /WebProject/advertiseRoleServlet HTTP/1.1" 200 95
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:21:20 +0100] "GET /WebProject/AdvertiseRole.jsp HTTP/1.1" 200 5390
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:21:21 +0100] "GET /WebProject/CSS/homeless.css HTTP/1.1" 304 -
